src	dest
ITGB2	FLNA
RFC1	REV1
MRPS36	MRPL44
TUBGCP6	TUBB4A
ITGA9	PTK2
PCDH12	PCDHB16
CXCL2	CX3CR1
DKK1	KREMEN2
NDUFS4	NDUFA5
POLR2C	PABPN1
NR3C1	HDAC9
RARG	S100A9
LOXL1	MFAP5
ORC2	CDT1
RNPS1	CHERP
PORCN	WNT9A
VAV3	RHOT2
ODF2	CDK1
PAFAH1B1	TCTN2
SRRT	SNRPA1
COPZ2	CD55
COG5	COPG2
WNT10B	MED12
PMF1	CENPQ
SQSTM1	IKBKB
LSM6	XAB2
RTP1	OR2B11
WT1	MDK
XAB2	HNRNPA2B1
EIF5	EIF4H
MAD1L1	RAD21
PLCB2	PIK3CA
AP2A2	HLA-DRB4
IGHV3-53	LAT
RAB10	SLC2A4
TGFB2	SMAD5
SIN3A	TRIM28
TMOD1	DES
GATA2	HOXA2
CEP290	SCLT1
PRKACG	OR6C68
MRPS9	MRPS36
IGFBP1	IGF2
CDCA5	CLASP1
POLR2F	CWC27
EXOSC6	DCAF13
ELK4	TBP
HNF4A	APOA4
EXOSC6	ISG20L2
RCC2	RANGAP1
TRIM21	RBCK1
PSMA3	CD4
POLR2H	ESRP1
LAMB2	LAMC3
OR51I2	GNG13
V2-8	ITK
TFAP2A	PRKCB
ITGB3BP	CENPE
RAE1	NXF2
PRKACB	SIK2
RBM8A	SNRPD1
POLR2K	WDR61
LCK	VAV2
RPL31	PNRC2
BMPR1B	LEFTY2
MYC	GLS2
SOCS4	IRS4
SNAPC1	POLR2F
PRPF31	PRCC
CLP1	UPF3B
CALM1	IQGAP2
SMNDC1	CDC5L
IL12A	IL13RA1
DYNLRB1	TTC30B
HLA-DQA1	HLA-DPA1
ITGA2B	CRK
FCGR1A	IGHV7-81
ARPC1A	AVPR2
SSNA1	DYNLL1
LEF1	KAT5
RAC2	MAP3K3
RAB11A	MYH2
PRKACA	OR8I2
SRSF7	LSM3
NDUFC1	NDUFA2
TMEM55A	PIK3R3
KDELR2	KIF23
CEP131	TUBGCP2
CTCF	KDM6A
SP1	MAX
EIF3L	PABPC1
ADCY2	GNAO1
CDK8	TGS1
ITGB1	DAG1
RPS4Y1	EIF3M
POLR2J	BCAS2
IGKV2D-30	IGLV3-19
CDK4	MADD
WBP11	SRRT
HDAC7	EP300
HLA-DQB2	LAG3
HNRNPR	HNRNPF
TRAPPC13	TRAPPC10
DNM2	CBL
GNAI1	PNOC
UCHL5	PSMD9
POLR2F	POLR3E
NDUFA2	ECSIT
MRPS9	TUFM
FOS	FHL2
NFKBIE	UBB
CEP192	TTBK2
BAZ1B	POLR1C
TNFRSF13B	SDC2
PPARGC1A	CDK19
PFDN1	PFDN6
COG6	GORASP1
GTF2E2	INTS9
ARRB2	CDON
ARHGAP5	RHOQ
COG1	DCTN5
SRP54	RPS26
CENPK	NUP107
WASL	RAB5A
NGF	MAPK8
ITGA10	PXN
CRNKL1	ISY1
COPG1	COPZ2
COL1A2	ACTN1
PPL	CSTA
CD3D	HLA-DPA1
PPP3CB	CDC27
GP1BB	PIK3R5
MRPL10	MRPL51
IGKV1D-12	PIK3R1
PLEKHG6	RHOA
SLU7	HNRNPA1
HLA-DPA1	KIF26A
UPF3A	RPS3
RGMB	BMP2
ACTR1B	MYH6
SMG6	RPL35A
HIST1H2BA	HDAC7
NCR2	TYROBP
OR9K2	GNB1
STAT6	AKT2
PCNT	CEP89
KRAS	PAPSS1
IGHV3-53	GAB2
SRRT	GPKOW
DPYSL2	AP2A1
LRP6	KREMEN1
ZNRD1	BAZ1B
PSME4	PSMD14
NCBP2	CDC40
FGF22	CBL
RAB1B	ARFGAP2
CENPF	ZWILCH
GOSR2	COPA
RPRD1A	SNAPC3
SEH1L	CENPP
SAG	WNT6
FAM120B	MED22
MYLK3	MYLPF
LIG3	TCEA1
PI4KB	MTMR4
RPL37	UPF3A
LIMS1	ILK
CAMK2A	PLCB4
RPN2	RPS26
SEC24B	SEC16B
TUBB2B	DYNC1I1
PSMD6	LTBR
ARRB2	TMIGD3
PRKCA	FOS
HGF	NCK1
IGLV2-11	IGHG3
SNAPC3	POLR2C
RPS7	SSR4
PRKACA	GNG5
CUL1	FBXW12
PRKG1	MAPK12
IGF1R	GNAI1
PSMD3	APOBEC3G
SNRPG	NCBP1
NUP155	SP100
V1-13	V1-3
SNRPB2	SNRPF
POLA2	PCNA
JAK1	GAB2
RPGRIP1L	TUBB4B
POLR2C	HNRNPH1
CD40	MAPK8
RPS27A	ARPC3
FOXO4	PCK1
DNM2	CFTR
APITD1	SKA2
IGHV1-2	BLNK
CDK1	PCM1
EIF4A3	SNRPN
EFNA1	TEK
PYGO2	HELLS
ITPR2	CAMK2D
ITGB3	LIMS2
SRSF9	PHF5A
LAMA5	CD44
HNRNPUL1	HNRNPM
XRN2	RRP36
RPLP2	DCP1A
CD3G	IL12B
SMNDC1	DNAJC8
IL15	LEPR
CHRM2	GNA11
NDUFB11	MT-ND5
EGR1	CHGA
PLCZ1	MTMR8
ST6GAL1	MUC21
UBC	PABPC1
TRA2B	PCF11
IGHV3-33	IGHV3-7
NPY1R	GNAI2
PTPRR	MAPK11
WNT4	GNAQ
CDIPT	PLCD4
SP1	POLR2A
CAMK2D	SRI
EIF4A3	HNRNPD
FADD	MAP3K5
PSMD5	TRAF3
HDAC3	MED21
IQCB1	HSP90AA1
PRPF6	U2SURP
LPAR1	GNG12
NCF2	NCF1
WIF1	WNT9B
RTP2	OR5AC2
DNA2	PRIM1
RPS6KA6	CREB1
CELSR2	PCDHB14
VCPKMT	VCP
NCSTN	ERBB4
NCBP2	RPS7
JUN	ITGB1BP1
RAD50	RHNO1
STM7	PIK3CD
ZFYVE9	SMAD2
DNAL4	NGF
GNGT1	GPR50
OR52B6	GNGT1
MTMR14	PLCG2
HNRNPR	SF3B1
MED20	MED11
INPP5A	PLCG1
TUBGCP2	NUMA1
RPS6	RPL18
WNT7B	GNB3
DDIT3	BCL2L11
PPIE	POLR2J
KIF2C	RCC2
RAE1	SUMO1
HERC5	FBXL5
PLCG1	PPP3R2
MED1	ESRRA
IFT57	AP2A2
VTI1A	COG6
HIF1A	COPS5
NRG2	CDC37
TNF	MED25
V5-1	IGHV7-81
HNRNPA2B1	SNRPD3
MYO1C	V2-17
POLR2L	NABP2
BLM	MLH1
IGHG4	IGLC3
REEP1	OR51F1
VAMP2	LNPEP
TAF1	CCT7
SPTBN2	DCTN4
RPL13A	EIF3E
KCNJ2	GNG7
IGKV3-11	ARPC1B
RPS4X	EIF3M
OR5D14	GNAL
HNRNPA1	SNRPG
SRSF4	LSM8
DCHS1	PCDH7
M6PR	ACTR3
NF2	FRMD1
UBC	HIST1H2BO
RPP40	RPS8
RXRB	CPT1A
AKT1	YWHAQ
PRKCG	AP2M1
CDIPT	PI4K2A
CPSF4	PABPN1
ARHGAP12	RHOH
EPO	JAK3
PPP1R3A	PHKA1
TAF1D	POLR2K
RPL9	RPS27A
SMG6	RPS24
SEC31B	SAR1B
PPARG	DBI
PSMA4	CUL1
SPCS3	RPL41
GPSM1	PTGDR2
RXRG	SCD5
FCAMR	IGLC7
HUWE1	FBXW5
GNAI3	TAS2R50
PSMD5	ADRM1
MAPK10	MAPK11
PTPN6	CTNNB1
SNU13	ELAVL2
TGFA	TRAPPC6A
HRH2	GNAL
CALM1	PLCB4
CD1A	CD3G
HIP1	EGF
LAMB1	NID1
ACVR2B	BMP10
MSTN	TGFBR2
ORC6	ORC5
DLG4	CAMK2B
DARS	LARS
PPIL1	USP39
C1QC	CRP
POU2F1	CITED1
IFNA1	CNTFR
GDI2	RHOG
IL17D	IFNLR1
PSMD12	TNFSF12
ILK	NACA
RFC4	POLR2B
CHMP4A	RPS27A
FN1	COL17A1
FBXL18	FBXO2
SRSF9	LSM5
NCKIPSD	IGLV2-11
SEH1L	SKA1
DOCK1	IGLV1-40
V1-16	GAB2
AFDN	ACTG2
SNRPB2	CPSF1
GNAS	LHB
SUGP1	XAB2
NFYA	PHTF2
CDC42	PRKCI
CNOT6L	TNKS1BP1
PCBP2	CWC22
GNG10	CHRM1
IL5RA	SDCBP
SMARCD3	MED13L
NOP56	RPS7
KLRK1	PIK3CA
PPIL1	SRSF11
SH2B2	RHOQ
UPF3B	EIF4G1
GCNT3	MUC3A
CRK	V5-4
AXIN1	RBX1
PSMD4	TNKS
RASD1	GNAO1
MRPS27	MRPL1
PKNOX1	POLR2I
WNT1	GSK3B
ASH2L	POLR2C
CASC3	SRSF1
HIST1H2BO	HDAC6
SPI1	MSR1
NFATC4	MEF2A
COL16A1	FYN
LSM7	DDX5
RGS13	PLCB1
TGFB3	ACVR2A
HNRNPA1	PRCC
CAMK2G	CDC25C
CD247	SHC1
MYBPC1	TNNC2
RNF8	CHEK2
USP14	PSMA5
SDC4	ACTN1
CASC3	PCBP1
ZFYVE28	EGF
PAFAH1B1	PRKACA
ARPC3	AP2S1
NUP37	CPSF3
SP1	ACACB
LIMS1	COL13A1
POLR2J	ERCC8
MRPL15	MRPL13
GNG3	ADRA1A
INTS3	INTS12
RNF20	RTF1
ZNF274	BRMS1L
PCGF2	HIST2H3A
TAF1	MAPK8
GAPVD1	TF
CD55	DYNC1H1
CWC15	SF3B4
RPS29	RPS26
APEX1	PCNA
ZBTB7A	DLK1
FOXA2	HDAC1
PRPF31	POLR2I
TBL1X	PPP2CB
SNRPN	ELAVL1
SNAP29	COG8
EGFR	ARHGEF7
RPS9	EMG1
ESRP2	PTBP1
ARPC5	SYNJ2
PIK3C2G	GNB1
GRK2	OR8G1
LIMS2	ITGB7
RARS	KARS
TOMM6	TOMM5
PRKG2	PLN
SAP30L	SUDS3
GNB1	CCR8
PIK3CB	PRKD1
TUBGCP4	TUBGCP5
BRK1	ARPC5L
SKA2	KIF2C
ANGPTL4	PCSK5
HNRNPA0	NCBP2
CAMK2B	NOS1
RPA1	RAD18
GNG3	ADORA1
MEF2A	IL2RG
SRC	ROCK2
RPL11	SMG9
P2RY1	GNAS
SSR1	SRP14
ETS1	ABCB1
TJP1	ACTN1
CHMP2A	PIK3R4
RRP7A	DDX47
DHX16	PPWD1
PRKAA1	MLST8
POLR2J	ZC3H8
EIF2AK3	MAPK14
REPS2	EPS15
FBXW4	FBXL16
RPS27A	RPL24
GORASP1	TMED7
RXRA	RUNX3
ASB16	RNF7
PGF	FGFR1
FIP1L1	U2AF2
BCL2L1	AIFM1
HTR2B	GNG4
MRPL21	MRPL1
POLR2F	POU2F2
IGHV3-33	WIPF2
PRKCB	SLC9A1
V3-4	V1-13
GTF2F1	SRSF1
DDX39A	CDC40
ADRM1	PSMB10
CDC42	MAPK1
IL11	IL12RB2
SEPT2	CEP72
TUBB4B	CKAP5
ITGA4	COL19A1
RPL35	EEF2
PIK3R2	IGKV3-11
RXFP4	RLN3
EGR1	EGFR
PHF5A	PRPF38A
IGHV4-39	V2-19
SRRT	DNAJC8
GTF2F1	PCBP1
IGKV3D-20	MS4A2
AP2S1	ARPC3
PSME1	PSMA1
RPL37A	DDOST
GAB1	NCK1
RACK1	SHARPIN
RPL31	SRP54
PAPOLA	POLR2I
NR3C1	BRF1
POLR1C	EP300
NFATC1	IFNA1
ITGAD	MICALL1
RAC2	ACTA1
RPL29	SMG7
HNRNPA0	CPSF1
INPP5B	PI4K2B
THOC3	SRSF1
EPS15L1	GRB2
GSPT2	RPL5
XRCC2	RAD51AP1
RPL35A	RPL8
OR5A1	GNAL
MRPS22	MRPS17
GNAI1	TAS2R30
PCDHA4	CDH22
FYN	CAPN2
CCND1	UBB
BAP1	MBD5
COL4A4	F12
CPSF3	LSM6
IL1R2	IL1RAP
CENPP	RANGAP1
NCOA1	NFYB
NCK1	V1-20
CCL1	CXCR6
MAFK	PMF1
IGLV3-27	IGHV1-69
PTPN11	GRAP
CCNT1	NELFE
ADAM20	ADAM30
NDEL1	CENPH
HNRNPA2B1	HNRNPD
KRT3	KRT19
HNRNPH2	SF1
GNAQ	GNG3
PSMA2	CDC25A
ERCC4	ZNF830
MRPL35	MRPL18
PLCG2	STAT4
PPIL1	SNRPB
KDM4B	UBE2V2
EIF1	AAG1
POLR3A	BRF2
GP9	PIK3R1
GRSF1	RPL18
TGFB1	ITGB5
POLR2D	PRPF3
AGRN	APOA2
TFAP2A	SPRY2
BMPR1B	ACVR2A
RPL34	RPL26
IGHV1-69	V1-3
INTS7	INTS10
KRT23	KRT6C
FBXL20	FBXO44
SF3B4	SNRPF
MAD1L1	CENPM
NUPL2	SUMO2
PRKCA	GRIP2
PRKACB	OR6C1
IGLV3-21	FCER1G
IFNG	IL4R
DBNL	MAP3K1
PSMA8	PSMA5
EXOSC5	WDR36
WNK2	RAF1
GPRC6A	GNA14
ABI1	EPS8
IGHV3-23	ARPC3
EP300	WASL
DMAP1	MORF4L2
EP300	RXRG
MUS81	EME2
PAG1	LYN
RPL22	PPP2R1A
RPL27A	SRPRA
EPN2	STAM
CLASP1	KIF2A
ACTN4	ITGAE
CLTB	ARPC3
SRSF1	CWC25
SIPA1L1	GRIN2A
ITGB3	FYN
IL12RB1	IRS1
TCHH	LCE3D
FBXO40	FBXO9
MAPK1	PCYT1B
MMP12	PLAUR
MAD2L1	ANAPC4
GALNT15	MUC7
PAFAH1B1	ZWINT
CRK	IGHV3-7
RPL34	RPL7A
KIF3A	IFT46
FYN	V4-1
CNOT6	POLR2A
TUBB4B	TBCA
FNBP1	VAMP3
EPHA6	EFNA1
PRKACG	OR5A1
POLR2L	TAF1D
BUB1	CENPQ
RAB11A	DYNLL1
WIPF1	IGKV1-17
RPLP1	SRP9
TAB3	TLR3
TXNL4A	DDX23
TAF13	RPRD2
COX11	COX7C
EPHB4	TIAM1
FN1	GIT1
TAS1R1	GNG13
KRT80	KRT18
COL4A1	FN1
PAK1	MAPK13
RBM22	POLR2D
U2AF1L4	POLR2G
OR52E2	GNG13
PCDHB10	CDH1
MAPK3	NOS2
SRRT	SRSF1
TFRC	CTTN
CEBPB	HSF2
PCDHGB7	PCDHB13
MRPS31	MRPL41
MRPS23	MRPS5
RFC1	RAD18
POLR2L	PPWD1
TNFRSF1A	TAB3
POLR2G	GPS1
MED15	TGS1
XPO1	ERCC6L
BCR	PIK3CA
RASGRF1	YWHAH
IGKV3-20	PLCG1
NELFE	EAF1
SRPRA	RPS6
POLR2H	TAF4
IL2	CSF2RB
CTBP2	SIX2
SRC	GPER1
INSRR	PIK3R5
OCRL	PIK3CB
KIFAP3	HLA-DRA
NCBP1	RPS4X
REEP1	OR6P1
RNF43	UBC
RPS21	LTV1
RPS27A	MAGOH
WNK4	UBB
LIN7A	PPFIA1
FLJ00404	AGTR2
SMG1	PPP2R5A
RPLP0	RPL10
SRSF10	HNRNPU
SKA2	CENPL
HNRNPL	SYF2
CPSF2	CWC22
CTDP1	POLR2L
CEP57	CEP97
TRAF6	TRAF2
UBE2L3	SNCA
NPHP4	CEP192
SRC	NCAM1
ARHGEF4	RAC2
LRP8	APOA1
PIK3R2	IGLV1-51
GNB1	PMCH
MRPL54	MRPL57
OPRM1	GNG11
RTP2	OR5B12
TP53	EP300
PLCG1	FGF16
KDM4A	UBA52
PSENEN	CD44
DHX15	PLRG1
ARPC1A	LDLR
WDR61	EXOSC1
HNRNPF	U2SURP
KRT79	KRT35
IFNA7	IL15RA
SKP1	RBCK1
PABPC1L2A	MSI1
EIF4B	RPS4X
TUBA4A	TUBB2A
BCL11A	IL12RB1
HNRNPA3	LSM3
CNTRL	ALMS1
PIP5K1C	SYNJ2
TXNIP	TXN2
PCBP1	DDX46
IGKV3-20	V4-2
SOCS5	IL13RA1
SF3B1	PPIE
SNRNP40	CSTF1
TNKS1BP1	EIF4A1
EXOSC2	NOP14
SNRPD1	CCAR1
WAS	WIPF1
HTR2B	GNG7
IGKC	V1-7
MAPK9	RB1
PRKD2	DKFZP686N2325
COL1A1	ITGA2
TCTN2	CEP72
AKAP9	SCLT1
FBXW12	LMO7
CCT6A	GNB5
PIP4K2B	PIK3R3
ASPH	JUN
CLTCL1	DRD4
GCHFR	GCH1
PPIH	HNRNPA1
MCM2	CDT1
CSTF1	ISY1
CEP78	CEP76
V3-2	VAV3
DYNC1I2	TUBGCP5
PIAS4	STAT1
GSTA2	EPHX1
SAR1B	GRIA1
IGKV1D-16	IGHA2
GSTA1	CYP2C19
TCEB3	CCNH
CENPM	SPC25
CSNK1G2	FZD1
DDX42	HSPA8
PAX6	POLR2E
RAD1	DNA2
CDH23	PCDH18
OR9G4	GNG13
NFKB1	IL2RA
NCAPD3	RB1
POLR2B	TAF1L
NDUFA12	NDUFS4
CCT4	WRAP53
MAPK12	TCF3
POLR2I	CPSF1
PARN	EXOSC7
SF3B5	RNPS1
SYCP3	SYNE2
SCO2	COX7B
GLI3	WNT2
PAPPA	IGFALS
PTCD3	MRPL51
SMARCC2	TOP2B
UBA52	VPS36
HDAC10	HIST1H2BO
MAP2K4	MAP2K1
GNRHR2	GNRH2
GNAI1	MT-RNR2
PRKACA	OR9A2
IGLV3-27	V3-3
SNRNP200	POLR2L
PICALM	HIP1R
KCNAB2	KCNH6
MCM2	GINS2
RPA4	POLA1
MAPK13	RORA
TAPBP	CALR
PCDHB8	PCDHB2
KDR	ARF1
BORA	HAUS8
GRIN2A	CAMK2B
ERCC6	UBC
ACTR1A	PCNT
ROCK2	PPP1R12A
POLR2A	PAF1
SMC1A	NDC80
PSME1	TNF
PIK3CA	V1-13
MEF2A	TP53AIP1
GNG7	MAPK9
TNC	ITGAX
RBMX	SRSF6
SNRPA	LSM6
NUP210	KPNA3
NSL1	NDE1
RINT1	KDELR2
HLA-DMA	HLA-DOB
PDPK2P	AKT1
ITGAV	POTEKP
FGF11	FGFR4
EME1	BRIP1
MAP2K7	GNB1
NFATC3	IL12RB1
V2-11	JCHAIN
MDM4	UBB
NCBP1	SNRNP27
NECAP1	SCARB2
BIRC5	SUMO3
RPL10	RPL23A
CRK	IGHV4-59
PSMB3	TRAF3
RPS24	RPL24
ITGA1	COL16A1
EIF4E	RPS26
ARHGAP5	RHOA
SETDB1	ZFP69
LARGE2	B4GAT1
GALNT11	MUC3A
SYK	SHC4
STAT4	GRB2
AJUBA	CSNK1D
SSTR5	SST
NDUFA12	NDUFA5
RACK1	RBCK1
IGLV7-43	MS4A2
GABPA	ZNF750
APOBEC3G	PSIP1
CEP192	CEP250
CD2BP2	SRSF4
MED9	RXRA
CWC15	SRSF3
CSNK1D	TTBK2
GH2	SH2B1
NUP155	SUMO3
EIF3I	RPS16
MRPL16	MRPL54
ATP6V1E2	LAMTOR2
EXOSC10	DCAF13
CCNB2	CENPT
KLC2	HLA-DQA1
TAF11	ZNF143
ALMS1	CEP70
YES1	V1-13
SNX9	SYT2
MRPL38	MRPL46
CTCF	BMP7
TMED2	RACGAP1
EXOSC9	IMP4
MYH9	ACTR1A
FLT3	HRAS
GRK3	OR6A2
CHL1	HSPA8
PPWD1	PHF5A
IGHV4-34	DOCK1
NDUFA5	NDUFB11
WNT6	CTNNB1
CHERP	SNRPE
SRRM1	SUGP1
POLR2G	CASC3
EIF4A3	PPIE
RPS5	SEC61G
NUP62	RAE1
FOXO1	YWHAH
KIFAP3	WDR19
HSPA8	PPIE
MRPS15	MRPL47
GTF2H5	TTF1
LRP2	APOB
NCL	HSP90AA1
LY96	UBA52
RUVBL1	CREBBP
PLCB1	ITPR1
EIF4B	EIF3L
KIF2C	DYNC1LI2
FCER1G	IGKV3D-20
HNRNPU	DDX46
H3F3A	HAT1
PLCB2	PIK3R5
DLG3	SHANK1
UPF3A	RPS4X
RAB9A	VPS54
HNRNPA2B1	MAGOH
SENP2	DVL1
CEP164	TCTN3
EXOSC2	FBL
IL5	INPP5D
ARHGEF4	RHOD
MYO1C	HIST1H4A
OR51F1	GNG7
PLCB2	GNAT1
PSMD6	TNFSF12
PCDHB4	CELSR3
ADCY4	GNAZ
SDCCAG8	NPHP1
NCOA3	TAF1
SUGP1	SF3A1
UGT1A1	ADH4
HGS	ARPC1A
SETDB1	ZNF436
MRPL24	MTRF1L
CTDP1	CTR9
TRAPPC6B	TRAPPC5
MRPL20	MRPL51
AP2S1	FNBP1
CCT4	TUBB6
FZD5	GNG4
CTCF	PRKAB1
CDK5RAP2	RAB8A
HDAC8	HIST2H2AC
STAT5A	SOCS5
WIF1	WNT1
SOX17	CTNNB1
GNAI1	P2RY4
OR2J1	GNB1
KRT16	KRT6C
CALM1	FKBP8
COL1A2	ITGB7
TCEB3	CTR9
DDX5	SNRPC
DLG2	NLGN3
EIF2S3	RPS10
RPS26	RPP25
ADRM1	PSMC6
CDC27	ANAPC11
APOE	GPC6
POLR2L	HNRNPM
RPS15A	ETF1
HAUS1	C2CD3
CDK7	POLD2
GTF2H5	SUMO1
EPS15	NOTCH1
PRKACG	MYLK3
IGKV A18	CBLB
NMU	GNB1
MED26	MED18
GNG5	ADRA2A
GAB3	PLCG2
SNRPF	SNRNP200
DKFZP761C0417	KAT2B
ORC1	CLSPN
GRK4	XCR1
SF3A2	SNRPB
SRSF5	ELAVL1
COX18	COX6A1
HRAS	PAPSS1
COL14A1	ITGA10
TBL1X	GPS2
FADD	MAP4K4
FYN	GRIN2A
OR4D9	GNG7
IGLV3-19	VAV3
PCDH20	PCDHB18P
ATP6V1G1	ATP6V0D2
COPZ2	KIF11
FBL	NOL6
CCNE1	CDKN1B
DOCK1	IGKV3-15
EGR1	THRAP3
DNAJC2	HIKESHI
IFNA8	IL6ST
KIF2C	NBAS
IGLV2-14	ARPC4
TSC2	DEPTOR
GABRG3	GABRB3
THPO	IL6R
RGMA	SMAD7
AKT1	BCL10
CTDP1	NELFA
PRKACA	OR6C4
PCDHA7	PCDHB4
POLR2K	POLD1
SRP14	RPL13
PPP2R5A	CACNB4
SMC1A	CENPQ
MYO6	DAB2
PCF11	HNRNPD
RPS12	RPL5
FCGR2B	IGKV1-12
PRKACA	OR13D1
SKIL	SMAD5
MAGOH	PPIE
RPL41	RPL36A
COL4A2	SDC4
GNGT1	ADRA2C
NDUFAB1	MT-ND6
DNAJC8	CHERP
SYT9	HSPA8
RPS26	RPL36A
AP2S1	EPHB2
SF3B3	ELAVL2
TBL1XR1	FAM120B
CEP76	RPGRIP1L
RB1	CDK4
GNAI2	PIK3CA
CENPU	CENPE
NCKAP1L	IGHV3-7
MT-ND6	NDUFB7
HIST1H3A	MBD2
IGKV2D-40	DOCK1
UBB	MUS81
CENPW	CENPA
ARHGEF26	RHOF
RPLP2	SSR2
WNT5A	AAK1
PSMA5	AXIN2
PSMB7	LTA
FGF23	EGFR
RPS6	UTP4
DYNC1H1	TUBB
CWC22	LSM2
PPBP	GNAI2
CTR9	SUPT4H1
IGHV2-70	IGHG2
DYNC1LI1	ACTR1B
ARL1	COG4
RPS23	RNPS1
IGHA1	V4-1
PPIE	LSM7
TUBGCP6	ODF2
CCL15-CCL14	CCR8
GTF3C4	POLR1D
SF3B4	HNRNPU
B4GAT1	LARGE1
RPL5	RPL36A
IFT43	WDR19
RPL38	SMG7
TTC21B	TTC26
CDH19	PCDHGB7
SOS1	GDNF
RNPS1	PRCC
RPS15A	RPP30
RBM8A	RPS9
KIT	GAB2
POLK	MNAT1
U2AF1L5	THOC6
TMED10	DYNC1I1
HOMER2	PIK3CD
RET	IRS1
XRCC3	BRCA1
PSMD11	NUMB
POLK	USP7
RNF168	TP53BP1
APOA2	GPC4
ATF2	MCL1
LCK	CD3D
ERCC3	HMGN1
GNG5	PIK3CG
OR2J3	GNGT1
TRIB3	MAPKAP1
RPRD2	TAF5
GRIN2B	RHOJ
PTK2	COL4A2
RPL22	SRP68
ACTN3	COL3A1
U2SURP	SNRPB
GPBAR1	GNAS
IGHV1-69	CD22
INO80B	XPC
GNG2	TRH
IGHG4	IGLV7-43
PTPN11	FGFR2
HDAC2	PRKCB
CLTCL1	DNAJC6
CEP162	CC2D2A
PTBP1	SLU7
CYP2C9	EPHX1
PSMB6	PSMD14
MS4A2	IGLV2-14
POLR2L	CHERP
RABEPK	IGF2R
EFTUD2	POLR2H
PTK2B	COL6A2
DNAJC8	HNRNPD
EPN2	MET
KNTC1	TAOK1
POLR2D	SF1
TFDP1	TFE3
FBXL22	FBXW2
YWHAG	AURKA
EAF2	NELFA
PABPC1	RPL4
MAGOHB	CPSF3
MRPS14	MRPL38
BARD1	RHNO1
KRT17	KRT79
MRPL18	MRPL17
IGKV3-15	V2-17
EIF1AY	EIF3E
PRKACG	LOC105369274
MED29	MED25
ITGA11	PARVG
COX7B	MT-CO2
PGF	CSF1R
LSM6	POLR2K
HTT	DNAL4
RGS9	PDE6H
MYO1C	IGKV3-20
CTF1	IL12RB1
COPB1	KLC1
ADCY10	GNG10
MEF2A	MBD1
WWTR1	CSNK1D
NKX2-5	BMP7
SIKE1	RNF135
PSMC6	MAD2L1
ELAVL1	HNRNPR
PLCZ1	PIK3R3
SYK	IGHV3-7
V4-2	BTK
KIF3C	IFT122
SKIL	UBC
RPLP1	EEF1A1
ARPC3	EFNB1
TAGAP	RHOC
ZCRB1	PDCD7
ITGAM	ICAM1
TMEM67	RAB11A
TSC1	RPS6KA1
ITGA9	L1CAM
VTI1A	GCC1
HNRNPU	CASC3
CD247	V4-2
CNOT10	CNOT3
WNT5A	HIP1R
SF3B2	CWC15
SRRM2	CDC40
BUB3	CENPI
SMAD3	TGFBR2
OR51B4	GNB1
RAP1A	CTNNA1
PCNT	NEDD1
PCDHB6	PCDHB13
CD14	GNA13
PCSK7	NOTCH4
CENPJ	RPGRIP1L
PSMA8	ADRM1
RHOV	ARHGDIB
GSTT2	CYP2C19
B9D1	RPGRIP1L
MRPS7	ERAL1
GNG5	ADCY2
SFN	CDK4
SSR1	RPL13
PIK3CD	CASP9
PSMC5	CDC6
GRK3	OR9A4
IFNB1	IL7R
POLR3E	GTF3C3
SNRPA	PRCC
IGLV3-1	V2-19
CXCL2	GNAI3
MED13	NCOA3
FCGR1A	NCKAP1L
NEK2	CEP162
LAMC2	DMD
RBX1	EP300
PFDN2	CCT7
PLK1	ZWINT
FAT1	PCDH7
YWHAE	HAUS2
ERCC4	GTF2H4
SFN	TSC1
NF1	RPS27A
CCND3	CDK6
TP53	CABIN1
COL4A1	LIMS2
PRKACA	CEP97
P3H1	SERPINH1
NDUFA5	NDUFB9
IFIH1	TRAF3
EBF1	CDC73
RPL10	RPL37A
CKAP5	HAUS2
CHERP	SLU7
PDK2	PDHB
SF3B4	SF3A3
PRKACB	ATP1B4
TUBA4A	TBCB
RNF19B	FBXL12
NUP37	RAN
ITGAD	COL6A3
TGS1	GEMIN7
GNB1	APP
SMARCA5	CENPN
SRSF1	SNRNP35
B3GNT8	MUC15
RPS15A	RPL19
HELZ2	TEAD2
PPP1CC	WDR33
PAFAH1B1	CENPE
FBXO15	ZNRF1
GTF2H4	TAF11
OR10H5	GNB1
NCKAP1L	ARPC2
CCNF	RNF217
ADCY7	GNGT2
CDCA5	CENPF
RAD23B	COPS5
CR1	C4B
EPN1	AMPH
EPN3	EPS15L1
RCL1	HEATR1
IFNA8	CRLF2
KLC1	KDELR3
LCK	EPHB1
NGF	NFKBIA
MLLT3	POLR2E
RTP1	OR2I1P
ARFGAP2	COPE
ABR	RHOQ
VAMP4	BIN1
EIF3H	EIF3L
HGFAC	HGF
KIF2B	SPC24
GRK3	OR8H3
TAB2	BIRC3
CDC5L	SNRPD2
PSMD8	PSME3
IGKV1-17	FCER1G
DKFZP451O0517	AREG
HIST1H2BD	RTF1
RHOC	PKN2
IFNE	IL20RB
HDAC2	ASH2L
CHERP	U2SURP
ELAVL1	PCBP2
AP2A1	SYT9
HDAC2	H2AFY2
PSEN1	LRP3
PCDHB7	FAT2
IGF2R	WASL
WDR5	KDM6A
UBA52	LMO7
CREB1	CPT1C
GNAI3	NPY4R
